Latitude,Longitude,updated_type,updated_subtype,Alert_Count
-87.94,41.99,HAZARD,UNCLASSIFIED,4
-87.93,41.96,HAZARD,ON ROAD EMERGENCY VEHICLE,3
-87.93,41.96,HAZARD,ON ROAD OBJECT,1
-87.93,41.96,HAZARD,ON ROAD TRAFFIC LIGHT FAULT,1
-87.93,41.96,HAZARD,ON SHOULDER CAR STOPPED,8
-87.93,41.980000000000004,HAZARD,UNCLASSIFIED,24
-87.93,41.99,HAZARD,UNCLASSIFIED,4
-87.93,42.0,ACCIDENT,UNCLASSIFIED,1
-87.93,42.0,HAZARD,ON ROAD EMERGENCY VEHICLE,2
-87.93,42.0,HAZARD,ON ROAD OBJECT,1
-87.93,42.0,HAZARD,ON ROAD TRAFFIC LIGHT FAULT,1
-87.93,42.0,HAZARD,ON SHOULDER CAR STOPPED,2
-87.93,42.0,HAZARD,WEATHER FOG,2
-87.93,42.0,JAM,STAND STILL TRAFFIC,1
-87.93,42.0,JAM,UNCLASSIFIED,1
-87.92,41.96,HAZARD,ON ROAD,3
-87.92,41.96,HAZARD,ON ROAD CAR STOPPED,3
-87.92,41.96,HAZARD,ON ROAD EMERGENCY VEHICLE,9
-87.92,41.96,HAZARD,ON ROAD POT HOLE,1
-87.92,41.96,HAZARD,ON SHOULDER CAR STOPPED,2
-87.92,41.96,HAZARD,UNCLASSIFIED,4
-87.92,41.96,HAZARD,WEATHER FOG,1
-87.92,41.96,JAM,UNCLASSIFIED,2
-87.92,41.99,HAZARD,ON ROAD,1
-87.92,41.99,HAZARD,ON ROAD ICE,1
-87.91,41.95,HAZARD,ON ROAD,1
-87.91,41.96,ACCIDENT,UNCLASSIFIED,1
-87.91,41.96,HAZARD,ON ROAD,1
-87.91,41.96,HAZARD,ON ROAD EMERGENCY VEHICLE,6
-87.91,41.96,HAZARD,UNCLASSIFIED,3
-87.91,41.96,HAZARD,WEATHER,1
-87.91,41.980000000000004,ACCIDENT,UNCLASSIFIED,1
-87.91,41.980000000000004,HAZARD,ON ROAD,32
-87.91,41.980000000000004,HAZARD,ON ROAD CONSTRUCTION,3
-87.91,41.980000000000004,HAZARD,ON ROAD EMERGENCY VEHICLE,45
-87.91,41.980000000000004,HAZARD,ON ROAD OBJECT,4
-87.91,41.980000000000004,HAZARD,ON ROAD POT HOLE,1
-87.91,41.980000000000004,HAZARD,ON SHOULDER CAR STOPPED,11
-87.91,41.980000000000004,HAZARD,UNCLASSIFIED,15
-87.91,41.980000000000004,HAZARD,WEATHER,2
-87.91,41.980000000000004,HAZARD,WEATHER FOG,1
-87.91,41.980000000000004,JAM,HEAVY TRAFFIC,11
-87.91,41.980000000000004,JAM,STAND STILL TRAFFIC,43
-87.91,41.980000000000004,JAM,UNCLASSIFIED,26
-87.91,41.99,HAZARD,UNCLASSIFIED,3
-87.91,41.99,HAZARD,WEATHER FOG,1
-87.91,42.0,HAZARD,ON ROAD,1
-87.91,42.0,HAZARD,ON SHOULDER CAR STOPPED,1
-87.9,41.94,ACCIDENT,UNCLASSIFIED,1
-87.9,41.94,HAZARD,ON ROAD CONSTRUCTION,1
-87.9,41.94,HAZARD,ON ROAD EMERGENCY VEHICLE,13
-87.9,41.94,HAZARD,ON ROAD OBJECT,1
-87.9,41.94,HAZARD,ON SHOULDER CAR STOPPED,3
-87.9,41.94,HAZARD,UNCLASSIFIED,2
-87.9,41.94,HAZARD,WEATHER FOG,1
-87.9,41.94,JAM,HEAVY TRAFFIC,1
-87.9,41.95,ACCIDENT,UNCLASSIFIED,5
-87.9,41.95,HAZARD,ON ROAD,6
